Chapter_QID_URL,Report,Chapter,Last Name,First Name,Role,Gender,Country of Residence,Citizenship,Affiliation,Match_Type
http://localhost:8080/entity/Q190,SYR,SPM,Aldunce,Paulina,Core Writing Team,F,Chile,Chile,University of Chile,EXACT
http://localhost:8080/entity/Q190,SYR,SPM,Blanco,Gabriel,Core Writing Team,M,Argentina,Argentina,"Universidad Nacional del Centro (UNICEN), Argentina",EXACT
http://localhost:8080/entity/Q190,SYR,SPM,Calvin,Katherine,Core Writing Team,F,USA,USA,University of Maryland,EXACT
http://localhost:8080/entity/Q190,SYR,SPM,Cheung,William (wai Lung),Core Writing Team,M,Canada,Canada,"Institute for the Oceans and Fisheries, The University of British Columbia",EXACT
http://localhost:8080/entity/Q190,SYR,SPM,Dasgupta,Dipak,Core Writing Team,M,India,India,THE ENERGY AND RESOURCES INSTITUTE (TERI),EXACT
http://localhost:8080/entity/Q190,SYR,SPM,Denton,Fatima,Core Writing Team,F,Ghana,Gambia,,EXACT
http://localhost:8080/entity/Q190,SYR,SPM,Diongue-Niang,Aïda,Core Writing Team,F,Senegal,Senegal,Agence Nationale de l'Aviation Civile et de la Météorologie du Sénégal -ANACIM,EXACT
http://localhost:8080/entity/Q190,SYR,SPM,Dodman,David,Core Writing Team,M,Netherlands,Jamaica,Institute for Housing and Urban Development Studies,EXACT
http://localhost:8080/entity/Q190,SYR,SPM,Garschagen,Matthias,Core Writing Team,M,Germany,Germany,Ludwig-Maximilians-University Munich,EXACT
http://localhost:8080/entity/Q190,SYR,SPM,Geden,Oliver,Core Writing Team,M,Germany,Germany,WGIII Vice-Chair,EXACT
http://localhost:8080/entity/Q190,SYR,SPM,Hayward,Bronwyn,Core Writing Team,F,New Zealand,New Zealand,University of Canterbury,EXACT
http://localhost:8080/entity/Q190,SYR,SPM,Jones,Christopher,Core Writing Team,M,UK,UK,Met Office Hadley Centre,EXACT
http://localhost:8080/entity/Q190,SYR,SPM,Jotzo,Frank,Core Writing Team,M,Australia,Australia,Australian National University,EXACT
http://localhost:8080/entity/Q190,SYR,SPM,Krinner,Gerhard,Core Writing Team,M,France,France,CNRS,EXACT
http://localhost:8080/entity/Q190,SYR,SPM,Lasco,Rodel,Core Writing Team,M,Philippines,Philippines,NATIONAL PANEL OF TECHNICAL EXPERTS - CLIMATE CHANGE COMMISSION,EXACT
http://localhost:8080/entity/Q190,SYR,SPM,Lee,June-yi,Core Writing Team,F,Republic of Korea,Republic of Korea,Pusan National University and Institute for Basic Science Center for Climate Physics,EXACT
http://localhost:8080/entity/Q190,SYR,SPM,Meinshausen,Malte,Core Writing Team,M,Australia,Germany,The University of Melbourne,EXACT
http://localhost:8080/entity/Q190,SYR,SPM,Mukherji,Aditi,Core Writing Team,F,Kenya,India,CGIAR,EXACT
http://localhost:8080/entity/Q190,SYR,SPM,Otto,Friederike,Core Writing Team,F,UK,UK,Imperial College London,EXACT
http://localhost:8080/entity/Q190,SYR,SPM,Revi,Aromar,Core Writing Team,M,India,India,Indian Institute for Human Settlements,EXACT
http://localhost:8080/entity/Q190,SYR,SPM,Roy,Joyashree,Core Writing Team,F,India,India,"Asian Institute of Technology Thailand, Jadavpur University, India",EXACT
http://localhost:8080/entity/Q190,SYR,SPM,Ruane,Alexander,Core Writing Team,M,USA,USA,NASA Goddard Institute for Space Studies,EXACT
http://localhost:8080/entity/Q190,SYR,SPM,Slangen,Aimée,Core Writing Team,F,Netherlands,Netherlands,NIOZ Royal Netherlands Institute for Sea Research,EXACT
http://localhost:8080/entity/Q190,SYR,SPM,Sörensson,Anna Amelia,Core Writing Team,F,Argentina,Argentina,"Center for Ocean and Atmosphere Sciences (CIMA / CONICET-UBA), Franco-Argentinian Institute for the Study of Climate and its Impacts (UMI-IFAECI/CNRS-CONICET-UBA)",EXACT
http://localhost:8080/entity/Q190,SYR,SPM,Thorne,Peter,Core Writing Team,M,Ireland,Ireland,Maynooth University,EXACT
http://localhost:8080/entity/Q190,SYR,SPM,Trisos,Christopher,Core Writing Team,M,South Africa,South Africa,University of Cape Town,EXACT
http://localhost:8080/entity/Q190,SYR,SPM,Van Vuuren,Detlef,Core Writing Team,M,Netherlands,Netherlands,PBL Netherlands Environmental Assessment Agency,EXACT
http://localhost:8080/entity/Q190,SYR,SPM,Wei,Yi-ming,Core Writing Team,M,China,China,"Center for Energy and Environmental Policy Research, Beijing Institute of Technology",EXACT
http://localhost:8080/entity/Q190,SYR,SPM,Winkler,Harald,Core Writing Team,M,South Africa,South Africa,"Energy Research Centre, University of Cape Town",EXACT
http://localhost:8080/entity/Q190,SYR,SPM,Zommers,Zinta,Core Writing Team,F,USA,Latvia,United Nations Office for the Coordination of Humanitarian Affairs (UNOCHA),EXACT
http://localhost:8080/entity/Q192,SYR,LR,Aldunce,Paulina,Core Writing Team,F,Chile,Chile,University of Chile,EXACT
http://localhost:8080/entity/Q192,SYR,LR,Blanco,Gabriel,Core Writing Team,M,Argentina,Argentina,"Universidad Nacional del Centro (UNICEN), Argentina",EXACT
http://localhost:8080/entity/Q192,SYR,LR,Calvin,Katherine,Core Writing Team,F,USA,USA,University of Maryland,EXACT
http://localhost:8080/entity/Q192,SYR,LR,Cheung,William (wai Lung),Core Writing Team,M,Canada,Canada,"Institute for the Oceans and Fisheries, The University of British Columbia",EXACT
http://localhost:8080/entity/Q192,SYR,LR,Dasgupta,Dipak,Core Writing Team,M,India,India,THE ENERGY AND RESOURCES INSTITUTE (TERI),EXACT
http://localhost:8080/entity/Q192,SYR,LR,Denton,Fatima,Core Writing Team,F,Ghana,Gambia,,EXACT
http://localhost:8080/entity/Q192,SYR,LR,Diongue-Niang,Aïda,Core Writing Team,F,Senegal,Senegal,Agence Nationale de l'Aviation Civile et de la Météorologie du Sénégal -ANACIM,EXACT
http://localhost:8080/entity/Q192,SYR,LR,Dodman,David,Core Writing Team,M,Netherlands,Jamaica,Institute for Housing and Urban Development Studies,EXACT
http://localhost:8080/entity/Q192,SYR,LR,Garschagen,Matthias,Core Writing Team,M,Germany,Germany,Ludwig-Maximilians-University Munich,EXACT
http://localhost:8080/entity/Q192,SYR,LR,Geden,Oliver,Core Writing Team,M,Germany,Germany,WGIII Vice-Chair,EXACT
http://localhost:8080/entity/Q192,SYR,LR,Hayward,Bronwyn,Core Writing Team,F,New Zealand,New Zealand,University of Canterbury,EXACT
http://localhost:8080/entity/Q192,SYR,LR,Jones,Christopher,Core Writing Team,M,UK,UK,Met Office Hadley Centre,EXACT
http://localhost:8080/entity/Q192,SYR,LR,Jotzo,Frank,Core Writing Team,M,Australia,Australia,Australian National University,EXACT
http://localhost:8080/entity/Q192,SYR,LR,Krinner,Gerhard,Core Writing Team,M,France,France,CNRS,EXACT
http://localhost:8080/entity/Q192,SYR,LR,Lasco,Rodel,Core Writing Team,M,Philippines,Philippines,NATIONAL PANEL OF TECHNICAL EXPERTS - CLIMATE CHANGE COMMISSION,EXACT
http://localhost:8080/entity/Q192,SYR,LR,Lee,June-yi,Core Writing Team,F,Republic of Korea,Republic of Korea,Pusan National University and Institute for Basic Science Center for Climate Physics,EXACT
http://localhost:8080/entity/Q192,SYR,LR,Meinshausen,Malte,Core Writing Team,M,Australia,Germany,The University of Melbourne,EXACT
http://localhost:8080/entity/Q192,SYR,LR,Mukherji,Aditi,Core Writing Team,F,Kenya,India,CGIAR,EXACT
http://localhost:8080/entity/Q192,SYR,LR,Otto,Friederike,Core Writing Team,F,UK,UK,Imperial College London,EXACT
http://localhost:8080/entity/Q192,SYR,LR,Revi,Aromar,Core Writing Team,M,India,India,Indian Institute for Human Settlements,EXACT
http://localhost:8080/entity/Q192,SYR,LR,Roy,Joyashree,Core Writing Team,F,India,India,"Asian Institute of Technology Thailand, Jadavpur University, India",EXACT
http://localhost:8080/entity/Q192,SYR,LR,Ruane,Alexander,Core Writing Team,M,USA,USA,NASA Goddard Institute for Space Studies,EXACT
http://localhost:8080/entity/Q192,SYR,LR,Slangen,Aimée,Core Writing Team,F,Netherlands,Netherlands,NIOZ Royal Netherlands Institute for Sea Research,EXACT
http://localhost:8080/entity/Q192,SYR,LR,Sörensson,Anna Amelia,Core Writing Team,F,Argentina,Argentina,"Center for Ocean and Atmosphere Sciences (CIMA / CONICET-UBA), Franco-Argentinian Institute for the Study of Climate and its Impacts (UMI-IFAECI/CNRS-CONICET-UBA)",EXACT
http://localhost:8080/entity/Q192,SYR,LR,Thorne,Peter,Core Writing Team,M,Ireland,Ireland,Maynooth University,EXACT
http://localhost:8080/entity/Q192,SYR,LR,Trisos,Christopher,Core Writing Team,M,South Africa,South Africa,University of Cape Town,EXACT
http://localhost:8080/entity/Q192,SYR,LR,Van Vuuren,Detlef,Core Writing Team,M,Netherlands,Netherlands,PBL Netherlands Environmental Assessment Agency,EXACT
http://localhost:8080/entity/Q192,SYR,LR,Wei,Yi-ming,Core Writing Team,M,China,China,"Center for Energy and Environmental Policy Research, Beijing Institute of Technology",EXACT
http://localhost:8080/entity/Q192,SYR,LR,Winkler,Harald,Core Writing Team,M,South Africa,South Africa,"Energy Research Centre, University of Cape Town",EXACT
http://localhost:8080/entity/Q192,SYR,LR,Zommers,Zinta,Core Writing Team,F,USA,Latvia,United Nations Office for the Coordination of Humanitarian Affairs (UNOCHA),EXACT
http://localhost:8080/entity/Q104,WGI,ATLAS,Gutiérrez,José Manuel,Coordinating Lead Author,M,Spain,Spain,Spanish Research Council (CSIC),EXACT
http://localhost:8080/entity/Q104,WGI,ATLAS,Jones,Richard,Coordinating Lead Author,M,UK,UK,Met Office Hadley Centre,EXACT
http://localhost:8080/entity/Q104,WGI,ATLAS,Narisma,Gemma Teresa,Coordinating Lead Author,F,Philippines,Philippines,Manila Observatory,EXACT
http://localhost:8080/entity/Q104,WGI,ATLAS,Amjad,Muhammad,Lead Author,M,Pakistan,Pakistan,"Global Climate-Change Impact Studies Centre (GCISC), Ministry of Climate Change and Environmental Coordination",EXACT
http://localhost:8080/entity/Q104,WGI,ATLAS,Gorodetskaya,Irina,Lead Author,F,Portugal,Russia,University of Aveiro,EXACT
http://localhost:8080/entity/Q104,WGI,ATLAS,Grose,Michael,Lead Author,M,Australia,Australia,CSIRO Climate Science Centre,EXACT
http://localhost:8080/entity/Q104,WGI,ATLAS,Klutse,Nana Ama Browne,Lead Author,F,Ghana,Ghana,"Ghana Space Science and Technology Institute, Ghana Atomic Energy Commission",EXACT
http://localhost:8080/entity/Q104,WGI,ATLAS,Krakovska,Svitlana,Lead Author,F,Ukraine,Ukraine,Ukrainian Hydrometeorological Institute,EXACT
http://localhost:8080/entity/Q104,WGI,ATLAS,Li,Jian,Lead Author,M,China,China,"Chinese Academy of Meteorological Sciences, China Meteorological Administration",EXACT
http://localhost:8080/entity/Q104,WGI,ATLAS,Martínez-Castro,Daniel,Lead Author,M,Cuba,Cuba,Instituto de Meteorología,EXACT
http://localhost:8080/entity/Q104,WGI,ATLAS,Mearns,Linda,Lead Author,F,USA,USA,National Center for Atmospheric Research,EXACT
http://localhost:8080/entity/Q104,WGI,ATLAS,Mernild,Sebastian H.,Lead Author,M,Norway,Denmark,University of Southern Denmark,EXACT
http://localhost:8080/entity/Q104,WGI,ATLAS,Muniz Alves,Lincoln,Lead Author,M,Brazil,Brazil,National Institute for Space Research (INPE),EXACT
http://localhost:8080/entity/Q104,WGI,ATLAS,Ngo-Duc,Thanh,Lead Author,M,Vietnam,Vietnam,"University of Science and Technology of Hanoi, Vietnam Academy of Science and Technology",EXACT
http://localhost:8080/entity/Q104,WGI,ATLAS,Van Den Hurk,Bart,Lead Author,M,Netherlands,Netherlands,Deltares,EXACT
http://localhost:8080/entity/Q104,WGI,ATLAS,Yoon,Jin-ho,Lead Author,M,Republic of Korea,Republic of Korea,Gwangju Institute of Science and Technology,EXACT
http://localhost:8080/entity/Q104,WGI,ATLAS,Camilloni,Inés,Review Editor,F,Argentina,Argentina,WGI Vice-Chair,EXACT
http://localhost:8080/entity/Q104,WGI,ATLAS,Christensen,Jens Hesselbjerg,Review Editor,M,Denmark,Denmark,"Niels Bohr Institute, University of Copenhagen",EXACT
http://localhost:8080/entity/Q104,WGI,ATLAS,Driouech,Fatima,Review Editor,F,Morocco,Morocco,University Mohammed VI Polytechnic,EXACT
http://localhost:8080/entity/Q83,WGI,"Chapter 1: Framing, context, methods",Chen,Deliang,Coordinating Lead Author,M,Sweden,Sweden,University of Gothenburg,FUZZY(0.93)
http://localhost:8080/entity/Q83,WGI,"Chapter 1: Framing, context, methods",Rojas,Maisa,Coordinating Lead Author,F,Chile,Chile,University of Chile,FUZZY(0.93)
http://localhost:8080/entity/Q83,WGI,"Chapter 1: Framing, context, methods",Samset,Bjørn H.,Coordinating Lead Author,M,Norway,Norway,CICERO Center for international climate research,FUZZY(0.93)
http://localhost:8080/entity/Q83,WGI,"Chapter 1: Framing, context, methods",Cobb,Kim,Lead Author,F,USA,USA,Georgia Inst. of Technology,FUZZY(0.93)
http://localhost:8080/entity/Q83,WGI,"Chapter 1: Framing, context, methods",Diongue-Niang,Aïda,Lead Author,F,Senegal,Senegal,Agence Nationale de l'Aviation Civile et de la Météorologie du Sénégal -ANACIM,FUZZY(0.93)
http://localhost:8080/entity/Q83,WGI,"Chapter 1: Framing, context, methods",Edwards,Paul,Lead Author,M,USA,USA,Stanford University and University of Michigan,FUZZY(0.93)
http://localhost:8080/entity/Q83,WGI,"Chapter 1: Framing, context, methods",Emori,Seita,Lead Author,M,Japan,Japan,"Institute for Future Initiatives, the University of Tokyo",FUZZY(0.93)
http://localhost:8080/entity/Q83,WGI,"Chapter 1: Framing, context, methods",Faria,Sergio Henrique,Lead Author,M,Spain,Brazil,BC3 - Basque Centre for Climate Change,FUZZY(0.93)
http://localhost:8080/entity/Q83,WGI,"Chapter 1: Framing, context, methods",Hawkins,Edward,Lead Author,M,UK,UK,"National Centre for Atmospheric Science, University of Reading",FUZZY(0.93)
http://localhost:8080/entity/Q83,WGI,"Chapter 1: Framing, context, methods",Hope,Pandora,Lead Author,F,Australia,Australia,Bureau of Meteorology,FUZZY(0.93)
http://localhost:8080/entity/Q83,WGI,"Chapter 1: Framing, context, methods",Huybrechts,Philippe,Lead Author,M,Belgium,Belgium,"Earth System Science & Departement Geografie, Vrije Universiteit Brussel",FUZZY(0.93)
http://localhost:8080/entity/Q83,WGI,"Chapter 1: Framing, context, methods",Meinshausen,Malte,Lead Author,M,Australia,Germany,The University of Melbourne,FUZZY(0.93)
http://localhost:8080/entity/Q83,WGI,"Chapter 1: Framing, context, methods",Mustafa,Sawsan,Lead Author,F,Sudan,Sudan,Ministry of Animal Resources /Range and Pasture General Directorate,FUZZY(0.93)
http://localhost:8080/entity/Q83,WGI,"Chapter 1: Framing, context, methods",Plattner,Gian-kasper,Lead Author,M,Switzerland,Switzerland,"Swiss Federal Research Institute for Forest, Snow and Landscape WSL",FUZZY(0.93)
http://localhost:8080/entity/Q83,WGI,"Chapter 1: Framing, context, methods",Treguier,Anne Marie,Lead Author,F,France,France,CNRS,FUZZY(0.93)
http://localhost:8080/entity/Q83,WGI,"Chapter 1: Framing, context, methods",Chuersuwan,Nares,Review Editor,M,Thailand,Thailand,Suranaree University of Technology,FUZZY(0.93)
http://localhost:8080/entity/Q83,WGI,"Chapter 1: Framing, context, methods",Hegerl,Gabriele C.,Review Editor,F,UK,UK,University of Edinburgh,FUZZY(0.93)
http://localhost:8080/entity/Q83,WGI,"Chapter 1: Framing, context, methods",Yasunari,Tetsuzo,Review Editor,M,Japan,Japan,Research Institute for Humanity and Nature,FUZZY(0.93)
http://localhost:8080/entity/Q85,WGI,Chapter 2: Changing state of the climate system,Gulev,Sergey,Coordinating Lead Author,M,Russia,Russia,"P.P. Shirshov Institute of Oceanology, Russian Academy of Sciences",EXACT
http://localhost:8080/entity/Q85,WGI,Chapter 2: Changing state of the climate system,Thorne,Peter,Coordinating Lead Author,M,Ireland,Ireland,Maynooth University,EXACT
http://localhost:8080/entity/Q85,WGI,Chapter 2: Changing state of the climate system,Ahn,Jinho,Lead Author,M,Republic of Korea,Republic of Korea,Seoul National University,EXACT
http://localhost:8080/entity/Q85,WGI,Chapter 2: Changing state of the climate system,Dentener,Frank,Lead Author,M,Italy,Netherlands,European Commission Joint Research Centre,EXACT
http://localhost:8080/entity/Q85,WGI,Chapter 2: Changing state of the climate system,Domingues,Catia M.,Lead Author,F,Australia,Australia,"University of Tasmania, Institute for Marine and Antarctic Studies (IMAS) and Antarctic Climate & Ecosystems Cooperative Research Centre (ACE CRC)",EXACT
http://localhost:8080/entity/Q85,WGI,Chapter 2: Changing state of the climate system,Gerland,Sebastian,Lead Author,M,Norway,Germany,Norwegian Polar Institute,EXACT
http://localhost:8080/entity/Q85,WGI,Chapter 2: Changing state of the climate system,Gong,Daoyi,Lead Author,M,China,China,Beijing Normal University,EXACT
http://localhost:8080/entity/Q85,WGI,Chapter 2: Changing state of the climate system,Kaufman,Darrell,Lead Author,M,USA,USA,Northern Arizona University,EXACT
http://localhost:8080/entity/Q85,WGI,Chapter 2: Changing state of the climate system,Nnamchi,Hyacinth,Lead Author,M,Nigeria,Nigeria,University of Nigeria,EXACT
http://localhost:8080/entity/Q85,WGI,Chapter 2: Changing state of the climate system,Quaas,Johannes,Lead Author,M,Germany,Germany,Leipzig University,EXACT
http://localhost:8080/entity/Q85,WGI,Chapter 2: Changing state of the climate system,Rivera,Juan Antonio,Lead Author,M,Argentina,Argentina,National Scientific and Technical Research Council of Argentina (CONICET),EXACT
http://localhost:8080/entity/Q85,WGI,Chapter 2: Changing state of the climate system,Sathyendranath,Shubha,Lead Author,F,UK,UK,Plymouth Marine Laboratory,EXACT
http://localhost:8080/entity/Q85,WGI,Chapter 2: Changing state of the climate system,Smith,Sharon,Lead Author,F,Canada,Canada,"Geological Survey of Canada, Natural Resources Canada",EXACT
http://localhost:8080/entity/Q85,WGI,Chapter 2: Changing state of the climate system,Trewin,Blair,Lead Author,M,Australia,Australia,Australian Bureau of Meteorology,EXACT
http://localhost:8080/entity/Q85,WGI,Chapter 2: Changing state of the climate system,Von Shuckmann,Karina,Lead Author,F,France,Germany,Mercator Ocean international,EXACT
http://localhost:8080/entity/Q85,WGI,Chapter 2: Changing state of the climate system,Vose,Russell,Lead Author,M,USA,USA,NOAA/NCEI,EXACT
http://localhost:8080/entity/Q85,WGI,Chapter 2: Changing state of the climate system,Osborn,Timothy,Review Editor,M,UK,UK,University of East Anglia,EXACT
http://localhost:8080/entity/Q85,WGI,Chapter 2: Changing state of the climate system,Zarrin,Azar,Review Editor,F,Iran,Iran,Ferdowsi University of Mashhad,EXACT
http://localhost:8080/entity/Q87,WGI,Chapter 3: Human influence on the climate system,Eyring,Veronika,Coordinating Lead Author,F,Germany,Germany,"Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR), Institut für Physik der Atmosphäre, Oberpfaffenhofen; University of Bremen, Institute of Environmental Physics (IUP), Bremen, Germany",EXACT
http://localhost:8080/entity/Q87,WGI,Chapter 3: Human influence on the climate system,Gillett,Nathan P.,Coordinating Lead Author,M,Canada,Canada,"CCCma, Environment and Climate Change Canada",EXACT
http://localhost:8080/entity/Q87,WGI,Chapter 3: Human influence on the climate system,Achutarao,Krishna,Lead Author,M,India,India,Indian Institute of Technology Delhi,EXACT
http://localhost:8080/entity/Q87,WGI,Chapter 3: Human influence on the climate system,Barimalala,Rondrotiana,Lead Author,F,South Africa,South Africa,"School of Earth and Atmospheric Sciences, Georgia Institute of Technology, Atlanta, USA",EXACT
http://localhost:8080/entity/Q87,WGI,Chapter 3: Human influence on the climate system,Barreiro Parrillo,Marcelo,Lead Author,M,Uruguay,Uruguay,Department of Atmospheric Sciences-Universidad de la República,EXACT
http://localhost:8080/entity/Q87,WGI,Chapter 3: Human influence on the climate system,Bellouin,Nicolas,Lead Author,M,UK,France,"Department of Meteorology, University of Reading",EXACT
http://localhost:8080/entity/Q87,WGI,Chapter 3: Human influence on the climate system,Cassou,Christophe,Lead Author,M,France,France,LMD/CNRS,EXACT
http://localhost:8080/entity/Q87,WGI,Chapter 3: Human influence on the climate system,Durack,Paul,Lead Author,M,USA,Australia,Lawrence Livermore National Laboratory,EXACT
http://localhost:8080/entity/Q87,WGI,Chapter 3: Human influence on the climate system,Kosaka,Yu,Lead Author,F,Japan,Japan,"Research Center for Advanced Science and Technology, The University of Tokyo",EXACT
http://localhost:8080/entity/Q87,WGI,Chapter 3: Human influence on the climate system,Mcgregor,Shayne,Lead Author,M,Australia,Australia,"School of Earth, Amtosphere and Environment, Monash University",EXACT
http://localhost:8080/entity/Q87,WGI,Chapter 3: Human influence on the climate system,Min,Seung-ki,Lead Author,M,Republic of Korea,Republic of Korea,Pohang University of Science and Technology,EXACT
http://localhost:8080/entity/Q87,WGI,Chapter 3: Human influence on the climate system,Morgenstern,Olaf,Lead Author,M,New Zealand,Germany,National Institute of Water and Atmospheric Research (NIWA),EXACT
http://localhost:8080/entity/Q87,WGI,Chapter 3: Human influence on the climate system,Sun,Ying,Lead Author,F,China,China,China Meteorological Administration,EXACT
