Report,CountIfs,Acronym,Description
SR1.5,1,μatm,Microatmospheres
SR1.5,1,1.5DS,1.5 Degree Scenario
SR1.5,1,2DS,2 Degree Scenario
SR1.5,2,ACCESS,Australian Community Climate and Earth-System Simulator
SR1.5,2,ACCMIP,Atmospheric Chemistry and Climate Model Intercomparison Project
SR1.5,1,ACCRN,The Asian Cities Climate Change Resilience Network
SR1.5,1,ACOLA,Australian Council of Learned Academies
SR1.5,1,ACs,Air Conditioners
SR1.5,3,ADB,Asian Development Bank
SR1.5,1,ADVANCE,Advanced Model Development and Validation for the Improved Analysis of Costs and Impacts of Mitigation Policies
SR1.5,1,AEZ,Agro-Ecological Zone
SR1.5,2,AfDB,African Development Bank
SR1.5,6,AFOLU,"Agriculture, Forestry and Other Land-Use"
SR1.5,2,AGCM,Atmospheric General Circulation Model
SR1.5,4,AI,Artificial Intelligence
SR1.5,1,AIM,Asia-Pacific Integrated Model
SR1.5,1,ALA,Alaska/Northwest Canada
SR1.5,1,AMAP,Arctic Monitoring and Assessment Programme
SR1.5,4,AMOC,Atlantic Meridional Overturning Circulation
SR1.5,1,AMP,Adjusting Mitigation Pathway
SR1.5,1,AMZ,Amazon
SR1.5,1,ANT,Antarctica
SR1.5,1,APEX,Air Pollutants Exposure Model
SR1.5,4,AR,Afforestation and Reforestation
SR1.5,5,AR4,IPCC Fourth Assessment Report
SR1.5,7,AR5,IPCC Fifth Assessment Report
SR1.5,6,AR6,IPCC Sixth Assessment Report
SR1.5,3,ARC,Arctic
SR1.5,2,ASEAN,Association of Southeast Asian Nations
SR1.5,1,ASIA,Non-OECD Asia
SR1.5,1,AUD,Australian Dollar
SR1.5,1,B2DS,Beyond 2 Degrees Scenario
SR1.5,2,BASIC,"Brazil, South Africa, India, China"
SR1.5,6,BC,Black Carbon
SR1.5,1,BCC-CSM,Beijing Climate Center Climate System Model
SR1.5,1,BCM,Bergen Climate Model
SR1.5,7,BECCS,Bioenergy with Carbon dioxide Capture and Storage
SR1.5,1,BET,"Basic Energy systems, Economy, Environment, and End-use Technology Model"
SR1.5,2,BEV,Battery Electric Vehicle
SR1.5,1,BNEF,Bloomberg New Energy Finance
SR1.5,1,BNU,Beijing Normal University
SR1.5,2,BRT,Bus Rapid Transit
SR1.5,2,cm,Centimetres
SR1.5,2,C,Carbon
SR1.5,4,CA,Conservation Agriculture
SR1.5,2,CAF,Corporacion Andina de Fomento (Development Bank of Latin America)
SR1.5,3,CAM,Central America/Mexico or Community Atmosphere Model
SR1.5,1,CAMx,Comprehensive Air Quality Model with Extensions
SR1.5,1,CanESM,Canadian Earth System Model
SR1.5,1,CanRCM,Canadian Regional Climate Model
SR1.5,3,CAR,Small Islands Regions Caribbean
SR1.5,1,CAS,Central Asia
SR1.5,1,Cat-HM,Catchment-scale Hydrological Models
SR1.5,6,CbA,Community-based Adaptation
SR1.5,6,CBA,Cost-Benefit Analysis
SR1.5,5,CBD,Convention on Biological Diversity
SR1.5,1,CBDR-RC,Common But Differentiated Responsibilities and Respective Capabilities
SR1.5,1,CBS & GNH,Centre for Bhutan Studies and Gross National Happiness Research
SR1.5,2,CC,Carbon Capture
SR1.5,1,CCAM,Conformal Cubic Atmospheric Model
SR1.5,2,CCC,Constant Composition Commitment
SR1.5,1,CCCma,Canadian Centre for Climate Modelling and Analysis
SR1.5,4,CCRIF,Caribbean Catastrophe Risk Insurance Facility
SR1.5,6,CCS,Carbon dioxide Capture and Storage
SR1.5,1,CCSM,Community Climate System Model
SR1.5,4,CCT,Cirrus Cloud Thinning
SR1.5,5,CCU,Carbon dioxide Capture and Utilisation
SR1.5,2,CCUS,"Carbon dioxide Capture, Utilisation and Storage"
SR1.5,4,CDD,Consecutive Dry Days
SR1.5,1,CD-LINKS,Linking Climate and Development Policies – Leveraging International Networks and Knowledge Sharing
SR1.5,4,CDM,Clean Development Mechanism
SR1.5,2,CDP,Carbon Disclosure Project
SR1.5,7,CDR,Carbon Dioxide Removal
SR1.5,3,CEA,Cost-Effectiveness Analysis
SR1.5,2,CEC,Clean Energy Council
SR1.5,3,CEDS,Community Emissions Data System
SR1.5,1,CEMICS,"Contextualizing Climate Engineering and Mitigation: Illusion, Complement or Substitute?"
SR1.5,2,CES,Constant Elasticity of Substitution
SR1.5,2,CESM,Community Earth System Model
SR1.5,1,CEU,Central Europe
SR1.5,3,CFCs,Chlorofluorocarbons
SR1.5,1,CGCM,Coupled Global Climate Model
SR1.5,3,CGE,Computable General Equilibrium
SR1.5,1,CGI,Canada/Greenland/Iceland
SR1.5,2,CGIAR,Consultative Group on International Agricultural Research
SR1.5,5,CH4,Methane
SR1.5,3,CHP,Combined Heat and Power
SR1.5,2,CI,Confidence Interval
SR1.5,1,CIRED,Centre International de Recherche sur l'Environnement et le Développement
SR1.5,1,CISL,Cambridge Institute for Sustainability Leadership
SR1.5,1,CLM,Climate Limited-area Modelling
SR1.5,1,CMAQ,Community Multiscale Air Quality Modeling System
SR1.5,4,CMIP3,Coupled Model Intercomparison Project Phase 3
SR1.5,6,CMIP5,Coupled Model Intercomparison Project Phase 5
SR1.5,7,CMIP6,Coupled Model Intercomparison Project Phase 6
SR1.5,2,CNA,Central North America
SR1.5,2,CNRM,Centre National de Recherches Météorologiques
SR1.5,4,CO,Carbon monoxide
SR1.5,5,CO2,Carbon dioxide
SR1.5,2,CO2e,Carbon dioxide equivalent
SR1.5,2,CO2eq,Carbon dioxide equivalent
SR1.5,1,CoM,Covenant of Mayors
SR1.5,6,COP,Conference of the Parties
SR1.5,1,COPPE-COFFEE,Programa de Planejamento Energético – COmputable Framework For Energy and the Environment
SR1.5,3,CORDEX,Coordinated Regional Climate Downscaling Experiment
SR1.5,2,COSMO,Consortium for Small-scale Modeling
SR1.5,2,CRCM,Canadian Regional Climate Model
SR1.5,1,CRDPs,Climate-Resilient Development Pathways
SR1.5,1,CRIEPI,Institut Central de Recherche des Industries Électriques
SR1.5,2,CRISPR,Clustered Regularly Interspaced Short Palindromic Repeats
SR1.5,1,C-ROADS,Climate Rapid Overview And Decision-support Simulator
SR1.5,3,CRU,Climatic Research Unit
SR1.5,3,CSA,Climate-Smart Agriculture
SR1.5,2,CSC,Climate Service Center Germany
SR1.5,1,CSDI,Cold Spell Duration Index
SR1.5,3,CSIRO,Commonwealth Scientific and Industrial Research Organisation
SR1.5,2,CSP,Concentrated Solar Power
SR1.5,3,CSR,Corporate Social Responsibility
SR1.5,1,CTC,Covenant Territorial Coordinator
SR1.5,1,CWD,Consecutive Wet Days
SR1.5,5,DACCS,Direct Air Carbon dioxide Capture and Storage
SR1.5,1,DACS,Direct Air Capture and Storage
SR1.5,4,DALY,Disability Adjusted Life Year
SR1.5,1,DICE,Dynamic Integrated Climate-Economy model
SR1.5,4,DJF,"December, January, February"
SR1.5,1,DM8H,Daily Maximum 8-Hour exposure
SR1.5,1,DNE21+,Dynamic New Earth 21 model
SR1.5,1,DOE,Department of Energy (USA)
SR1.5,2,DRI,Direct Reduced Iron
SR1.5,5,DRM,Disaster Risk Management
SR1.5,1,DTU,Technical University of Denmark
SR1.5,2,E,"Equilibrium, Evaporation or Evapotranspiration"
SR1.5,2,EAF,East Africa
SR1.5,4,EAIS,East Antarctic Ice Sheet
SR1.5,2,EAS,East Asia
SR1.5,5,EbA,Ecosystems-based Adaptation
SR1.5,3,EC,European Commission
SR1.5,1,ECF,European Climate Foundation
SR1.5,3,ECMWF,European Centre for Medium-Range Weather Forecasts
SR1.5,4,ECS,Equilibrium Climate Sensitivity
SR1.5,3,EDGAR,Emission Database for Global Atmospheric Research
SR1.5,4,EEA,European Environment Agency
SR1.5,1,EGMAM,ECHO-G Middle Atmosphere Model
SR1.5,1,E-HYPE,European Hydrological Predictions for the Environment
SR1.5,2,EJ,Exajoules
SR1.5,1,EMEP,European Monitoring and Evaluation Programme
SR1.5,1,EMF,Energy Modeling Forum
SR1.5,2,EMIC,Earth-system Model of Intermediate Complexity
SR1.5,2,ENA,East North America
SR1.5,5,ENSO,El Niño-Southern Oscillation
SR1.5,1,EOR,Enhanced Oil Recovery
SR1.5,3,EPA,Environmental Protection Agency (USA)
SR1.5,1,EPIs,Energy-Intensive Processing Industries
SR1.5,1,ERA,ECMWF ReAnalysis
SR1.5,3,ERF,Effective Radiative Forcing
SR1.5,2,ERFaci,Effective Radiative Forcing from aerosol-cloud interactions
SR1.5,2,ERFari,Effective Radiative Forcing from aerosol-radiation interactions
SR1.5,1,ESCOs,Energy Service Companies
SR1.5,5,ESL,Extreme Sea Level
SR1.5,6,ESM,Earth System Model
SR1.5,1,ESR,Empirical Scaling Relationship
SR1.5,1,ESRB ASC,European Systemic Risk Board Advisory Scientific Committee
SR1.5,2,ESRL,NOAA Earth System Research Laboratory
SR1.5,1,Eta-CPTEC,Eta Centro de Previsão do Tempo e Estudos Climáticos
SR1.5,2,ETP,Pacific Islands region [3] or Energy Technology Perspectives model
SR1.5,3,ETS,Emission Trading Scheme
SR1.5,5,EU,European Union
SR1.5,1,EU-FP6,European Union Sixth Framework Programme
SR1.5,1,EUG4,"France, Germany, Italy, United Kingdom"
SR1.5,1,EURO-CORDEX,European branch of the Coordinated Regional Climate Downscaling Experiment
SR1.5,4,EV,Electric Vehicle
SR1.5,3,EW,Enhanced Weathering
SR1.5,5,FAIR,Finite Amplitude Impulse Response model
SR1.5,5,FAO,Food and Agriculture Organization of the United Nations
SR1.5,2,FAOSTAT,Database Collection of the Food and Agriculture Organization of the United Nations
SR1.5,4,FAQ,Frequently Asked Questions
SR1.5,1,FARM,Future Agricultural Resources Model
SR1.5,3,Fe,Iron
SR1.5,3,FE,Final Energy
SR1.5,2,FEMA,Federal Emergency Management Agency (USA)
SR1.5,2,FF,Fossil Fuel
SR1.5,1,FF&I,Fossil-Fuel combustion and Industrial processes
SR1.5,2,F-gas,Fluorinated gases
SR1.5,1,FGOALS,Flexible Global Ocean-Atmosphere-Land System model
SR1.5,1,FIO,First Institute of Oceanography
SR1.5,1,FMNR,Farmer Managed Natural Regeneration
SR1.5,1,FUND,"Climate Framework for Uncertainty, Negotiation, and Distribution model"
SR1.5,1,FUSSR,Former Union of Soviet Socialist Republics
SR1.5,1,g,Grams
SR1.5,1,GAMS,General Algebraic Modeling System
SR1.5,3,GBAM,Ground-Based Albedo Modification
SR1.5,2,GCAM,Global Change Assessment Model
SR1.5,1,GCC,Gulf Cooperative Council
SR1.5,1,GCEC,Global Commission on the Economy and Climate
SR1.5,5,GCM,General Circulation Model or Global Climate Model
